Code,Position,Latitute,Longitude ,Tree age,Origin
Cri1N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri2S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri2S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri3N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri4S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri4S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri5N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri5S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri5S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri6S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri6S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri7N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri7N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri7S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri8S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri8S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri8S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri8S-4,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri9N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri9S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri9S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,China
Cri9S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri8S-5,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri10S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri10S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-4,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-5,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-6,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-7,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-8,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-10,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-11,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-12,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-15,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-16,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-18,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri11S-19,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-4,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-5,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-6,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-7,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-8,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-9,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri12S-10,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
